	Tbet	CD27	CD223	CD25	CD197	CD8a	CD152	CD103	CD107a	MIP1b	CD39	CD137	CD14	IFNg	CD127	IL-2	CD4	CD183	CD274	CD326	CD20	CD56	TNFa	CD3	Ki67	CD45	GZMB	CD95	CD279	CD45RA	File	PatientID	DAY
export_Ex_5-16-19 TIL105-58-001-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.135	1.166978535399	5.13637563460358	2.09996712614029	1.45701919437104	5.58606772794412	2.02344256814412	0.408126460268757	0	1.85948182324802	0.873994009288272	0.171461695843043	0	0	0	2.31362058888371	0	4.0782365184407	1.3924871011984	0	0	0.0515164701307663	0	0	4.11693890473742	0	4.75713537820009	0	0.784423793500354	0	3.32042014786318	export_Ex_5-16-19 TIL105-58-001-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-58-001-D000	D000
export_Ex_5-23-19 TIL105-22-23-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.542408322857962	0	0.719234299163679	0	0.0799452082632054	0	0	0	0.678459422758439	0	0	0	0	0	0	export_Ex_5-23-19 TIL105-22-23-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-23-D000	D000
export_Ex_5-24-19 TIL105-22-029-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.67	0.28175625438939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.300137896555572	0	0	0	0	0	0	0	0	0	0	0.885432460772436	0	0	0	export_Ex_5-24-19 TIL105-22-029-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-029-D000	D000
export_Ex_5-24-19 TIL105-22-026-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.252	0.226648065766007	0	0	0	0.430548133418176	0	0	0	1.51400720721958	0.210796868931687	0.067011551956677	0	0	0	0	0.212900219092735	0	0.996379173802715	0.160755357524829	0	0.597053611805494	4.10066148970503	0.992284030889649	0	2.28156988734197	0	0.485178889193532	1.37027189511827	0	0	export_Ex_5-24-19 TIL105-22-026-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-026-D000	D000
export_Ex_5-16-19 TIL105-58-001-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.43	0	0	0	0	0	0	0	0	0	0.0201819755869598	0	0	0	0	0	0	0	0	0	0	0	0.691643855730501	0	0	0	0	0	0	0	0	export_Ex_5-16-19 TIL105-58-001-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-58-001-D000	D000
export_Ex_5-16-19 TIL105-58-002-D000_02_1_0_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.115	0	0	0	0	0	0	0	0	1.6395358219484	0.177364214159727	0	0	0	0.311601163058892	0.252920073626849	0.527712368994435	0	0	0	5.54332601321059	0.532011434893283	3.98118140493439	0	0	0	0.34711039184062	0.367725183148055	0	0	0.872855683964051	export_Ex_5-16-19 TIL105-58-002-D000_02_1_0_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-58-002-D000	D000
export_Ex_5-23-19 TIL105-22-23-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.30	0	0	0	0.757814876852803	0	0	0.286043345785201	2.27911862649155	0	0	0	0.190361264794181	0	0	0	0	0	0	0	0	0	0	0.569389240923268	0.0826453350096463	1.93723960460472	0	0.268608491508689	0.825972487452687	0.112433637184812	0.195361679939367	export_Ex_5-23-19 TIL105-22-23-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-23-D000	D000
export_Ex_5-23-19 TIL105-22-21-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41593972809002	0.0308124361842848	0	0	0	0	0	0.472236704420693	export_Ex_5-23-19 TIL105-22-21-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-21-D000	D000
export_Ex_5-16-19 TIL105-58-002-D000_02_1_0_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.9	0	0	0	1.67331205024839	0	0	0	0	3.3904831784795	0	0	0.233686864498451	0	1.23648802020998	0	0	0	0	0	6.31015078206428	0	0.0929262003876758	4.00385939350556	0.180105703104962	1.88732047813332	0	0	4.03159258576324	0.132273938472049	0	export_Ex_5-16-19 TIL105-58-002-D000_02_1_0_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-58-002-D000	D000
export_Ex_5-24-19 TIL105-22-026-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.890560359086049	0	0	0.412809507949341	0	0	export_Ex_5-24-19 TIL105-22-026-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs	105-22-026-D000	D000
