	22-022-Day-15	22-026-Day-15	22-029-Day-15	58-001-Day-15	58-006-Day-15	58-007-Day-15	58-008-Day-15	58-003	58-001-Pre	58-003-Pre	58-006-Pre	58-007-Pre	58-008-Pre	22-022-Pre	22-026-Pre	22-029-Pre
A1BG	1.19917	0	2.266050062	7.18232	0	0	4.04921	0	0	0	0	0	0	0	1.13635098543487e-321	5.69657689654957e-321
A1CF	5	0	18.0041	26.0028	9.00539	2	16.00666769	25.0552	8	18.002	6.00277	8.00308	17.0284	34	9	12.1293
A2M	15.9356	30.0324	157.207	303.904	0	424.213	562.786	0	597.933	66.3912	836.203	495.855	141.333	97.2411	929.681	171.659
A2ML1	15.1869	3.04043	31.1788	18.5152	67.7201	16.9396	33.6173	33.7527	0	19.08384	9.03381	20.1333	5.40482	0	15.6115	36.3063
A3GALT2	0	0	0	0	0	0	8	0	0	0	0	0	6	0	0	3
A4GALT	51.814	81.99996	37	60	145.94836	152.6981	189.9997	15.2015	119.16816	35	36	76.092	21	0	3	32
A4GNT	0	0	9	0	1	0	0	0	0	0	0	2	0	0	8	0
AAAS	76.588209	156.9353016	1.41049	25.3514	275.3684	63.58469	164.4654002	0	84.6128	85.8028	177.5519	52.85236	193.23577	0	55.1435	119.71925
AADAC	0	0	6	0	0	10.352	0	0	0	7.75652	6.4228533959362e-323	45.7301	20.8425	0	0	0
AADACL2	0	0	0	0	0	0	3.48126	0	0	0	0	4.5061	5.63234836259021e-322	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	25.5969	0	0	0	0	0
AADACL4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AADAT	39.1868	67.4309	30.35201	23.07816	92.99997	33.6525	98.6755	8.23602	68.1242	15.47074	25.6115	15.00001	64.2271	0	93.4255	59.54249
AAED1	136.7124	125.522	209.57749	120.392	107.6303	210.92518	81.5684	259.3271	197.0874	137.0535	174.7785	174.3517	142.1544	135.483	98.4876	139.6248
AAGAB	428.6206	583.931	494.6197	293.8517	153.1719	576.716	567.0794	334.7567	553.341	244.5922	318.528	486.5556	415.4901	824.61388	402.4388	248.7301
AAK1	1440.3252	1588.8286	2979.8419	2052.2013	1289.6353	2068.2031	2694.848	2165.5648	1908.7063	1149.14348	1593.3757	1711.0711	3484.5957	1219.9538	1365.92169	2376.8515
AAMDC	121.5084	146.42144	116.00818	128.4124545	279.9684	124.56089	236.15017	88.39814	156.4359	125.43448	79.676	115.49095	326.3739	392.9159	126.0156	94.90948825
AAMP	439.4266	729.90449	272.2515	153.22305	897.1226	653.0618	553.0364	837.679	263.72966	411.2888	203.1372	320.07855	305.22	379.1058	77.8561	215.38001
AANAT	0	0	4	12.1357	29	12.80686	5.51487	0	0	1	4	9	2	42.0998	2	3.04189
AAR2	179	303	176.5815	195.04527	450.815	389.76296	513.99981	242.5271	218.6923	250.9775	192.0005	187.4085	143	36	92	182.8637
AARD	80.5851	53.2863	68.7527	1.17433	25.0355	35.4708	28.266	84.6667	11.2099	19.1009	29.2814	52.5179	21.3717	35.078	25.2766	62.0879
AARS	6.4228533959362e-323	0	102.501	2.47032822920623e-323	16.9075	40.0985	15.3725	0	38.3466	15.7817	85.8845	0	160.588	0	4.46156000000116e-312	0
AARS2	416.802	439.723	508.753	240.557	508.659	439.037	564.23	470.48	124.656	205.891	110.591	154.062	237.736	192.009	272.262	322.413
AARSD1	108.3631	211.05432	77.7625	200.3769	489.266	163.775	58.0528	87.7677	66.6258	131.94529	6.95E-137	60.286	1.03971	205.677	127.1581	71.4273
AASDH	78.5436	358.3097008	149.3009	129.746	67	78.888932	133.0698	125.9998	113.3067	233.33198	71.69202154	100.8327	123.1475	466	39.01375	131.7447
AASDHPPT	324.4812	532.474	176.519	172.7307	477.7825	271.807	215.183	184.8566	380.7751	514.5357	480.649	509.9777	402.274	66.4619	274.5265	226.8943
AASS	59.4917	70.0568	115.9046	63.3827	217.0855	137.552	73.8195	170.52517	57.2893	52.0766	6.18E-131	110.483	1.08842661778827e-320	119.873	140.0991	182.8478
AATF	2005.84	997.096	1076.939	1199.78	2024.44	1087.606	550.5048	2589.58	1221.574	1353.57804	1142.9356	1165.3	587.2201	1944	962.292	904.194
AATK	0	0	62.4537	2.30E-89	5	19.4733	107.577	58.6186	0	21.0258	0	10	23.23057	0	1	73.53484
ABAT	7.6086109459552e-322	0	13.3501	2.09763	0	30.95176	8.94995	5	103.99996	9.60628	68	9.97444	27.78064001	35.3565	119.027	85.30308
ABCA1	3478.0041	1917	2294.0034	2704.2303	1739	3766.27375	2681.0006	3666.9507	2519.00434	4218.247	4536.0027	4429.9987	2176.9975	4072.9956	2614.0005	1513.0351
ABCA10	31.2194	0	1.66E-241	41.2736	0	1.14931	0	0	25	37.9458	1.87E-174	0	0	0	13	4
ABCA12	146	5.22583	12	9	7.1404	0	14	76	13	0	4	1.91003	24	0	4.57504788048994e-321	8
ABCA13	86.4475	181.456	129.691	62.0897	24.6998	112.417	181.127	40.8038	197.289	95.8576	151.13	126.381	181.1109	0	50.6736	77.3265
ABCA2	570.10358	119.8409	364.8407	482.8842	0	420.717462	780.456319	867.1853183	249.0611	667.36768	3.81354	4.85103	97.3045	0	21.06213	16.66924
ABCA3	3.66596709214205e-321	519.3508	141.3423	48.783	742.971	251.6015	307.646	416.9645	58.8179	485.2569	121.6883	81.04323	280.9999	0	26.14991	111.37038
ABCA4	9	36	2	35	5.54494	19.99997	18.5804	67.1245	18	18	100	13.2943	46.99997	0	0	56.9449
ABCA5	115.458	64.5211	156.68433	144.6702	197.69123	86.68656	175.6809	0	331.2464	246.00379	136.7064	66.02314	292.709	345	174.222	207.4926
ABCA6	124.5983	13	141.1479	401.951	0	382.4859	0	31	564.678	128.35831	414.403	804.294	18.1258	1033.075	186.8837	188.6526
ABCA7	24.18119	200.96775	152.45318	123.2692	125.0668	146.50456	292.9851	165.8663	90.3547	90.20527	24.505	28.11045	7.68877	31.84271	132.9299	73.3723
