,Tbet,CD27,CD223,CD25,CD197,CD8a,CD152,CD103,CD107a,MIP1b,CD39,CD137,CD14,IFNg,CD127,IL-2,CD4,CD183,CD274,CD326,CD20,CD56,TNFa,CD3,Ki67,CD45,GZMB,CD95,CD279,CD45RA,File,PatientID,DAY
"export_Ex_5-16-19 TIL105-58-001-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.135",1.166978535,5.136375635,2.099967126,1.457019194,5.586067728,2.023442568,0.40812646,0,1.859481823,0.873994009,0.171461696,0,0,0,2.313620589,0,4.078236518,1.392487101,0,0,0.05151647,0,0,4.116938905,0,4.757135378,0,0.784423794,0,3.320420148,"export_Ex_5-16-19 TIL105-58-001-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-58-001-D000,D000
"export_Ex_5-23-19 TIL105-22-23-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542408323,0,0.719234299,0,0.079945208,0,0,0,0.678459423,0,0,0,0,0,0,"export_Ex_5-23-19 TIL105-22-23-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-23-D000,D000
"export_Ex_5-24-19 TIL105-22-029-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.67",0.281756254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300137897,0,0,0,0,0,0,0,0,0,0,0.885432461,0,0,0,"export_Ex_5-24-19 TIL105-22-029-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-029-D000,D000
"export_Ex_5-24-19 TIL105-22-026-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.252",0.226648066,0,0,0,0.430548133,0,0,0,1.514007207,0.210796869,0.067011552,0,0,0,0,0.212900219,0,0.996379174,0.160755358,0,0.597053612,4.10066149,0.992284031,0,2.281569887,0,0.485178889,1.370271895,0,0,"export_Ex_5-24-19 TIL105-22-026-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-026-D000,D000
"export_Ex_5-16-19 TIL105-58-001-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.43",0,0,0,0,0,0,0,0,0,0.020181976,0,0,0,0,0,0,0,0,0,0,0,0.691643856,0,0,0,0,0,0,0,0,"export_Ex_5-16-19 TIL105-58-001-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-58-001-D000,D000
"export_Ex_5-16-19 TIL105-58-002-D000_02_1_0_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.115",0,0,0,0,0,0,0,0,1.639535822,0.177364214,0,0,0,0.311601163,0.252920074,0.527712369,0,0,0,5.543326013,0.532011435,3.981181405,0,0,0,0.347110392,0.367725183,0,0,0.872855684,"export_Ex_5-16-19 TIL105-58-002-D000_02_1_0_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-58-002-D000,D000
"export_Ex_5-23-19 TIL105-22-23-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.30",0,0,0,0.757814877,0,0,0.286043346,2.279118626,0,0,0,0.190361265,0,0,0,0,0,0,0,0,0,0,0.569389241,0.082645335,1.937239605,0,0.268608492,0.825972487,0.112433637,0.19536168,"export_Ex_5-23-19 TIL105-22-23-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-23-D000,D000
"export_Ex_5-23-19 TIL105-22-21-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.415939728,0.030812436,0,0,0,0,0,0.472236704,"export_Ex_5-23-19 TIL105-22-21-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-21-D000,D000
"export_Ex_5-16-19 TIL105-58-002-D000_02_1_0_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.9",0,0,0,1.67331205,0,0,0,0,3.390483178,0,0,0.233686864,0,1.23648802,0,0,0,0,0,6.310150782,0,0.0929262,4.003859394,0.180105703,1.887320478,0,0,4.031592586,0.132273938,0,"export_Ex_5-16-19 TIL105-58-002-D000_02_1_0_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-58-002-D000,D000
"export_Ex_5-24-19 TIL105-22-026-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.890560359,0,0,0.412809508,0,0,"export_Ex_5-24-19 TIL105-22-026-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-026-D000,D000
"export_Ex_5-16-19 TIL105-58-001-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.70",0,3.55963497,0.600316278,0.730709928,0.096007198,4.661823707,0.120974106,2.272387565,3.12344994,0,0,0,0,1.892756397,2.833019812,0,0,2.242009267,0,0,0.382077642,0,2.922611768,4.34172364,0.310562811,4.709220386,0.392226792,0.909186785,2.839695007,4.272277959,"export_Ex_5-16-19 TIL105-58-001-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-58-001-D000,D000
"export_Ex_5-17-19 TIL105-58-005-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.29",0.434399161,0,0,0,0,0,0,0,0,0.836487365,0,0,0,0,0,0,0,0,0,0,0.191123832,0,0.537082447,0,0,0,0,0,0,0,"export_Ex_5-17-19 TIL105-58-005-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-58-005-D000,D000
"export_Ex_5-23-19 TIL105-22-22-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.81",0,0,0,0,0,0,0,0.38763296,0,0.060451809,0,0,0,0,0,0,0,0.51141581,0.148232714,0,0.32862574,0,0.302056694,0,0,0,0,0,0,0,"export_Ex_5-23-19 TIL105-22-22-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-22-D000,D000
"export_Ex_5-24-19 TIL105-22-026-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.16",0.127337033,0,0,0,0,0,0,0,3.110755469,0,0,0,0,0.163782844,0,0.297727415,0,0,0.17711596,0,0,4.307299661,0,1.450991384,0.240075003,0,0,1.9608952,0.349316194,0,"export_Ex_5-24-19 TIL105-22-026-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-026-D000,D000
"export_Ex_5-16-19 TIL105-58-002-D000_02_1_0_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.029923211,0,0,0,0,0,0,0,0,0,0,1.308562556,0,0,0,0,"export_Ex_5-16-19 TIL105-58-002-D000_02_1_0_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-58-002-D000,D000
"export_Ex_5-24-19 TIL105-22-026-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.155",0.353357849,0,0,1.056387747,0,0,0,0,0,0.533088535,0,1.145982136,0.667812444,0,0,0,0,0,0,0.139006398,0,0,0,0,0.161124832,0,0,0,0,0,"export_Ex_5-24-19 TIL105-22-026-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-026-D000,D000
"export_Ex_5-23-19 TIL105-22-23-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252535848,0,0,0,0,0,0,0,0,"export_Ex_5-23-19 TIL105-22-23-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-23-D000,D000
"export_Ex_5-22-19 TIL105-58-006-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.59",0.271120311,3.682412448,0.778481781,0.044516307,1.132718972,3.826363435,0,0,4.293125746,3.576505732,0,0.110324925,0,0,3.045681902,0.247138188,0,0.688070692,0.081783576,0,0.178674406,0.33398767,2.962062398,3.624207485,0,4.640320137,0,2.009178151,0.442287918,0,"export_Ex_5-22-19 TIL105-58-006-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-58-006-D000,D000
"export_Ex_5-23-19 TIL105-22-21-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.34",1.43504562,5.012706878,1.660716094,0.648780728,4.980289674,5.629620018,1.351580806,0,3.852871054,1.099041521,0.23520256,0.59536405,0.663239378,0,0.575697776,0.209316058,0,0.007644822,0,0,0.990965624,0,0,4.297693238,1.261841283,4.749233675,0,0.084705416,0,3.753963172,"export_Ex_5-23-19 TIL105-22-21-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-21-D000,D000
"export_Ex_5-16-19 TIL105-58-002-D000_02_1_0_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.80",0,0,0,1.828971696,0,0,0,0,2.659719372,1.237205759,0,0,0,0,0.440320632,0.534577422,0,0,0,6.121817762,0,1.861366838,3.087438822,0,0.643845315,1.150873496,0.112330423,2.934173564,0,0,"export_Ex_5-16-19 TIL105-58-002-D000_02_1_0_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-58-002-D000,D000
"export_Ex_5-16-19 TIL105-58-002-D000_02_1_0_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.54",0,0,0,1.671145115,0,0,0,0,3.019075542,0.115851867,0,0,0,0,0,0.000857,0,0,0.076855715,6.328039803,0,2.123854727,0,0,0,0,0,1.453724355,0,0,"export_Ex_5-16-19 TIL105-58-002-D000_02_1_0_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-58-002-D000,D000
"export_Ex_5-17-19 TIL105-58-005-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.8",0.321736565,0,0,0,0,0,0,0,2.770977912,0,0,0,0,0,0.045612352,0,0,0.012272096,0,4.771138243,0,1.823203239,0.680137674,0,0.044953996,0.000844667,0,2.444905408,0,0,"export_Ex_5-17-19 TIL105-58-005-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-58-005-D000,D000
"export_Ex_5-23-19 TIL105-22-23-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.18",0.068967884,0,0.074081222,0.116787889,0.062052129,0,0,0.274523262,0,0.51751788,0.656458831,0,0.149759212,0.073630666,0,0.550215107,0,0,0,1.085304846,0.970546208,1.857520774,0,0,0.269567182,0.280029234,0,0,0,0,"export_Ex_5-23-19 TIL105-22-23-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-23-D000,D000
"export_Ex_5-23-19 TIL105-22-21-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.79",0,0,0,0,0.280710848,0,0,0,0.435634885,0,0.55119341,0,0,0.131275019,0,0.913844794,0,0.509430474,0,0,0.467872063,0,0.604495208,0,0.951589991,0,0,0,0,0.051962318,"export_Ex_5-23-19 TIL105-22-21-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-21-D000,D000
"export_Ex_5-24-19 TIL105-22-026-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.265",0,0,0,0,0.102418138,0,0,0,2.858895962,0,0,0,0,0,0,1.672956547,0,0,0.36794492,0.515322054,0,5.026417774,0.991606612,0,1.010337273,0,0.09054388,4.127953537,0,0,"export_Ex_5-24-19 TIL105-22-026-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-026-D000,D000
"export_Ex_5-23-19 TIL105-22-23-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.54",0,0,0,1.078844243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.122444081,0,0.095250629,0.661576611,0.129933618,0,0.198165169,0,0,0,0,"export_Ex_5-23-19 TIL105-22-23-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-23-D000,D000
"export_Ex_5-23-19 TIL105-22-21-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.78",0,0,0,0.010568327,0.381375363,0,0,0.587467049,0,0.08653728,0.497834314,1.171716297,0.162035126,0,0.047922541,0.523457377,0,0,0.016066426,0.55945601,2.187336624,0.291985565,1.425071866,0,0,0,0,0.477025527,0,1.524100355,"export_Ex_5-23-19 TIL105-22-21-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-21-D000,D000
"export_Ex_5-16-19 TIL105-58-002-D000_02_1_0_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.242",0,0,0,0.865042693,0.018355769,0,0.236511058,0,3.472036838,0.891848454,0,0,0,0.029180659,0,0,0.152012085,0,0,3.757949704,0,0.514529194,1.599518612,0,0.893782026,0,0,1.499670223,0,0.500589203,"export_Ex_5-16-19 TIL105-58-002-D000_02_1_0_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-58-002-D000,D000
"export_Ex_5-22-19 TIL105-58-008-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.10",1.170856236,0,0,0.477270865,0.207118653,0,0,0,0,0.890005917,0,0,0,0,0,0,0,0,0,0,0,0,0.124900558,0,0.740056678,0,0,0,0,0,"export_Ex_5-22-19 TIL105-58-008-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-58-008-D000,D000
"export_Ex_5-16-19 TIL105-58-002-D000_02_1_0_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.249",1.211134148,0,0,0.249887228,0.061483454,0,0,0,3.731481626,1.48541278,0.156356139,0,0.353105197,0.53574709,0.00565957,0.109268832,0,0,0.185774179,5.116953338,0,4.931568489,0.66422684,0,1.251896656,0,0,2.959434453,0,0.796376917,"export_Ex_5-16-19 TIL105-58-002-D000_02_1_0_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-58-002-D000,D000
"export_Ex_5-24-19 TIL105-22-029-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.81",0,0,0,0,0.500509639,0,0.597627657,0,2.992841507,0.481180648,0,0,0,0,0,0,0,0.14897864,0.439709119,3.31755165,0,0.380955059,0,0,0,0,0,0.003712834,0,2.433280665,"export_Ex_5-24-19 TIL105-22-029-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-029-D000,D000
"export_Ex_5-22-19 TIL105-58-007-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.49",0.12633936,0,0,2.059670495,0,0,0,0.037172518,0.372689143,0,0,0,0.004672933,0,0.566936695,0.26302872,0,0,0,0,0.50522389,1.693232797,0,0.072999529,0,1.089699079,0,0.251749981,0,0,"export_Ex_5-22-19 TIL105-58-007-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-58-007-D000,D000
"export_Ex_5-24-19 TIL105-22-026-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs.61",0,0,0.121206385,0,0.053398787,0.006344994,0,0,2.77110664,0,0.305394615,0.065648009,0,0.264289761,0,0.179257279,0,0,1.135582306,0.497001203,0,4.85988025,0.475281543,0.396373189,0.747652088,0,0,3.619124865,0.186813877,0,"export_Ex_5-24-19 TIL105-22-026-D000_01_1_Live Singlets_89Y_CD45, 143Nd_CD127 subset.fcs",105-22-026-D000,D000
