Probe Name	perc_Samples_above_Threshold	20150715_PP1_PR13-126-11B 15-1_10.RCC	20150715_PP1_PR13-126-12B_12.RCC	20150715_PP1_PR13-126-1B_01.RCC	20150715_PP1_PR13-126-5B_04.RCC	20150715_PP1_PR13-126-6B_06.RCC	20150715_PP1_PR13-126-7B_05.RCC	20150715_PP1_PR13-126-9B_08.RCC	20150715_PP2_PR13-126-13B_01.RCC	20150715_PP2_PR13-126-16B_02.RCC	20150715_PP2_PR13-126-3B 15-2_06.RCC	20151008_PP3_PR13-126-03A_01.RCC	20151008_PP3_PR13-126-06A_02.RCC	20151008_PP3_PR13-126-11A_03.RCC	20160226_26FEBCITN_PR1312644A_07.RCC	20160226_26FEBCITN_PR1312644B_08.RCC	20160226_26FEBCITN_PR1312647A_05.RCC	20160226_26FEBCITN_PR1312647B_06.RCC	20160325_Lysates1A_PR13 126 01A_05.RCC	20160325_Lysates1A_PR13 126 05A_06.RCC	20160325_Lysates1A_PR13 126 07A_07.RCC	20160325_Lysates1A_PR13 126 09A_02.RCC	20160325_Lysates1A_PR13 126 12A_03.RCC	20160325_Lysates1A_PR13 126 13A_09.RCC	20160325_Lysates1A_PR13 126 16A_04.RCC
ID	xx	22-024_D015:22-024_D015	22-025_D015:22-025_D015	58-001_D015:58-001_D015	58-003_D015:58-003_D015	58-004_D015:58-004_D015	58-005_D015:58-005_D015	22-023_D015:22-023_D015	58-007_D015:58-007_D015	22-026_D015:22-026_D015	58-002_D015:58-002_D015	58-002_D000:58-002_D000	58-004_D000:58-004_D000	22-024_D000:22-024_D000	22-029_D000:22-029_D000	22-029_D015:22-029_D015	58-008_D000:58-008_D000	58-008_D015:58-008_D015	58-001_D000:58-001_D000	58-003_D000:58-003_D000	58-005_D000:58-005_D000	22-023_D000:22-023_D000	22-025_D000:22-025_D000	58-007_D000:58-007_D000	22-026_D000:22-026_D000
FLAG				FLAG	FLAG	FLAG		FLAG	FLAG							FLAG									
A2M	100	3299.94	3374.01	7021.6	4587.6	5226.48	6589.5	8470.92	4419.89	2330.86	8778.03	3852.73	4239.15	10254.1	6092.75	6857.91	3655.5	2250.51	4295.08	2635.84	3740.64	5599.13	8335.37	2160.85	3891.49
ABCB1	100	147.92	265.87	193.12	147.66	106.98	73.18	84.93	122.87	37.68	164.21	357.31	311.49	438.48	87.58	129.9	198.5	40.8	595.22	282.45	269.26	500.48	408.95	251.73	307.71
ABL1	100	1215.19	1616.04	1012.46	1029.34	1014.77	509.01	687.16	860.11	759.01	1118.3	786.47	649.71	651.69	890.69	923.48	880.59	677.33	713.98	548.4	448.76	544.27	986.29	630.18	520.5
ADA	100	89.86	62.45	277.49	315.4	132.16	218.73	127.95	179.04	74.02	187.08	295.17	221.92	370.1	269.36	315.11	190.33	247.54	565.88	324.71	422.7	500.48	745.73	283.83	324.55
ADORA2A	100	59.45	52.99	189.37	54.48	45.63	33.34	63.97	47.39	68.63	168.37	145.64	72.19	185.05	97.5	39.87	142.14	29.02	401	157.72	107.12	231.47	336.78	170.64	182.17
AICDA	75	22.12	15.14	41.25	18.64	33.04	11.75	14.34	28.09	15.25	10.88	25.24	13.37	5.62	28.09	25.72	12.25	12.69	15.37	9.62	34.74	50.05	9.25	21.96	18.37
AIRE	79.17	29.03	25.55	37.5	14.34	10.5	11.75	14.34	11.62	15.25	10.88	141.76	96.25	156.89	34.7	38.59	63.72	21.76	399.61	175.24	211.35	215.83	216.5	125.02	107.16
AKT3	100	1323.02	3310.62	1183.08	927.55	995.89	232.55	317.66	1068.99	207.25	941.62	846.67	661.74	1235	1227.8	747.27	330.02	243	1133.15	1477.19	454.55	969.68	1407.27	810.95	546.52
ALCAM	100	1303.66	797.61	740.6	918.95	877.9	996.88	3978.47	1743.03	2235.31	1428.01	2427.38	639.01	253.44	675.87	775.57	950.84	1766.32	402.4	1006.09	254.78	481.71	396.92	1988.52	1262.97
AMBP	70.83	19.35	12.88	18.75	9	10.5	17.89	10.12	11.62	15.25	10.88	149.53	86.9	205.16	24.79	16.72	41.66	13.6	245.91	138.13	118.7	309.67	469.09	140.23	176.05
