human	mouse	corrs
SERPINB10	Serpinb10	1
HYI	Hyi	1
GBP7	Gbp11	1
ATP10D	Atp10d	1
HLA-H	H2-T10	1
PLA2G2A	Pla2g2a	1
HLA-C	H2-Bl	0.134341319461415
CLEC7A	Clec7a	1
MX1	Mx2	0.138056145777112
SPRR2B	Sprr2a2	1
CXCL11	Cxcl11	1
OAS1	Oas1b	1
MT-CYB	mt-Cytb	1
MT-ND6	mt-Nd6	1
MT-ND5	mt-Nd5	1
MT-ND4	mt-Nd4	1
MT-ND4L	mt-Nd4l	1
MT-ND3	mt-Nd3	1
MT-CO3	mt-Co3	1
MT-ATP6	mt-Atp6	1
MT-ATP8	mt-Atp8	1
MT-CO2	mt-Co2	1
MT-CO1	mt-Co1	1
MT-ND2	mt-Nd2	1
MT-ND1	mt-Nd1	1
APC	Apc	0.86908328761806
DYNLT3	Dynlt3	1
SOBP	Sobp	1
SUV39H1	Suv39h1	1
PRDM9	Prdm9	0.108837102619147
SKP2	Skp2	1
OR1C1	Olfr1366	1
HNF4G	Hnf4g	0.842706422040336
PSMD6	Psmd6	1
CDH2	Cdh2	0.860412592534036
NCR1	Ncr1	1
VN1R2	Vmn1r237	1
VSX1	Crxos	1
KIN	Kin	1
IFNGR1	Ifngr1	1
PON3	Pon1	1
ASB15	Asb15	1
PPP1R13L	Ppp1r13l	1
OPRK1	Oprk1	1
ATP6V0C	Atp6v0c	1
NKAIN2	Nkain2	0.800950916426568
SYCP3	Gm20896	1
KCNF1	Kcnf1	1
SDR16C5	Sdr16c6	1
CHRM1	Chrm1	1
PRL	Prl2b1	1
SORBS2	Sorbs2	1
LGALSL	Gm5065	1
MAML2	Maml2	1
TEX54	1700092M07Rik	1
ECHDC3	Echdc3	1
VN1R4	Vmn1r70	1
PTPN12	Ptpn12	1
MCM10	Mcm10	1
TMEM254	Tmem254a	1
EMP2	Emp2	1
SDF2L1	Sdf2l1	1
SCN3B	Scn3b	1
ACRV1	Acrv1	1
SLC35A2	Slc35a2	1
THSD7A	Thsd7a	0.547550769924133
CEP57L1	Cep57l1	1
AZIN1	Azin1	1
WDR17	Wdr17	1
ZSCAN10	Zscan10	1
SBSPON	Sbspon	1
PENK	Penk	1
SLC45A2	Slc45a2	1
RPP40	Rpp40	1
COMMD3	Commd3	1
VPS8	Vps8	1
BFAR	Bfar	1
GPR83	Gpr83	1
ABCB1	Abcb1a	0.32007228573091
CDC16	Cdc16	1
DEFA6	Gm7861	0.494455815839328
EFNB2	Efnb2	1
HYPM	Hypm	1
TMBIM7P	Tmbim7	1
SCLT1	Sclt1	1
ZEB1	Zeb1	0.799035498196519
SHROOM4	Shroom4	1
ZNF292	Zfp292	1
L3MBTL3	L3mbtl3	1
